sample_id	population	superpopulation	ont_hap1_modbed_mb	ont_hap2_modbed_mb	has_pacbio_methylc	has_fiberseq	has_hic	has_isoseq_expression	has_harmonized_sup5_basecall	had_guppy_raw	had_dorado06_raw	assembly_naming	assembly_hap1_url	assembly_hap2_url	in_asm_lr_18donor_cohort	in_asm_lr_30donor_plan
HG00097	GBR	EUR	2343.2	2312.9	True	False	True	True	True	False	True	hap	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG00097/assemblies/release2/HG00097_hap1_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG00097/assemblies/release2/HG00097_hap2_hprc_r2_v1.0.1.fa.gz	False	False
HG00099	GBR	EUR	2632.4	2620.3	True	False	True	True	True	True	False	hap	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG00099/assemblies/release2/HG00099_hap1_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG00099/assemblies/release2/HG00099_hap2_hprc_r2_v1.0.1.fa.gz	False	False
HG00126	GBR	EUR	3061.0	3024.4	True	False	True	True	True	False	True	hap	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG00126/assemblies/release2/HG00126_hap1_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG00126/assemblies/release2/HG00126_hap2_hprc_r2_v1.0.1.fa.gz	True	True
HG00128	GBR	EUR	2468.4	2429.5	True	False	True	True	True	False	True	hap	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG00128/assemblies/release2/HG00128_hap1_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG00128/assemblies/release2/HG00128_hap2_hprc_r2_v1.0.1.fa.gz	False	False
HG00133	GBR	EUR	2787.5	2825.1	True	False	True	True	True	False	True	hap	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG00133/assemblies/release2/HG00133_hap1_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG00133/assemblies/release2/HG00133_hap2_hprc_r2_v1.0.1.fa.gz	False	False
HG00140	GBR	EUR	3299.6	3344.0	True	False	True	True	True	True	False	hap	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG00140/assemblies/release2/HG00140_hap1_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG00140/assemblies/release2/HG00140_hap2_hprc_r2_v1.0.1.fa.gz	False	False
HG00146	GBR	EUR	2609.5	2700.2	True	False	True	True	True	False	True	hap	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG00146/assemblies/release2/HG00146_hap1_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG00146/assemblies/release2/HG00146_hap2_hprc_r2_v1.0.1.fa.gz	True	True
HG00232	GBR	EUR	2669.5	2710.4	True	False	True	True	True	False	True	hap	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG00232/assemblies/release2/HG00232_hap1_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG00232/assemblies/release2/HG00232_hap2_hprc_r2_v1.0.1.fa.gz	False	False
HG00235	GBR	EUR	2462.9	2485.1	True	False	True	True	True	False	True	hap	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG00235/assemblies/release2/HG00235_hap1_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG00235/assemblies/release2/HG00235_hap2_hprc_r2_v1.0.1.fa.gz	False	False
HG00253	GBR	EUR	2728.0	2776.4	True	False	True	True	True	False	True	hap	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG00253/assemblies/release2/HG00253_hap1_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG00253/assemblies/release2/HG00253_hap2_hprc_r2_v1.0.1.fa.gz	True	True
